1号记录仪温湿度记录表
序号,时间(单位:秒),温度(单位:℃),湿度(单位:RH%)
194,2021-4-29 23:5:0,22.2,45.4
195,2021-4-29 23:10:0,22.2,45.4
196,2021-4-29 23:15:0,22.2,45.5
197,2021-4-29 23:20:0,22.2,45.5
198,2021-4-29 23:25:0,22.2,45.5
199,2021-4-29 23:30:0,22.2,45.5
200,2021-4-29 23:35:0,22.2,45.5
201,2021-4-29 23:40:0,22.2,45.5
202,2021-4-29 23:45:0,22.2,45.5
203,2021-4-29 23:50:0,22.2,45.5
204,2021-4-29 23:55:0,22.2,45.6
205,2021-4-30 0:0:0,22.2,45.6
206,2021-4-30 0:5:0,22.2,45.6
207,2021-4-30 0:10:0,22.2,45.6
208,2021-4-30 0:15:0,22.2,45.7
209,2021-4-30 0:20:0,22.1,45.7
210,2021-4-30 0:25:0,22.1,45.6
211,2021-4-30 0:30:0,22.1,45.7
212,2021-4-30 0:35:0,22.1,45.7
213,2021-4-30 0:40:0,22.1,45.8
214,2021-4-30 0:45:0,22.1,45.9
215,2021-4-30 0:50:0,22.1,45.9
216,2021-4-30 0:55:0,22.1,46
217,2021-4-30 1:0:0,22.1,46
218,2021-4-30 1:5:0,22.1,46
219,2021-4-30 1:10:0,22.1,46.1
220,2021-4-30 1:15:0,22.1,46.2
221,2021-4-30 1:20:0,22.1,46.2
222,2021-4-30 1:25:0,22.1,46.2
223,2021-4-30 1:30:0,22.1,46.2
224,2021-4-30 1:35:0,22,46.2
225,2021-4-30 1:40:0,22,46.3
226,2021-4-30 1:45:0,22,46.4
227,2021-4-30 1:50:0,22,46.4
228,2021-4-30 1:55:0,22,46.4
229,2021-4-30 2:0:0,22,46.5
230,2021-4-30 2:5:0,22,46.5
231,2021-4-30 2:10:0,22,46.6
232,2021-4-30 2:15:0,22,46.6
233,2021-4-30 2:20:0,22,46.6
234,2021-4-30 2:25:0,22,46.7
235,2021-4-30 2:30:0,22,46.7
236,2021-4-30 2:35:0,22,46.7
237,2021-4-30 2:40:0,22,46.8
238,2021-4-30 2:45:0,21.9,46.8
239,2021-4-30 2:50:0,21.9,46.9
240,2021-4-30 2:55:0,21.9,46.8
241,2021-4-30 3:0:0,21.9,46.9
242,2021-4-30 3:5:0,21.9,46.9
243,2021-4-30 3:10:0,21.9,46.9
244,2021-4-30 3:15:0,21.9,46.9
245,2021-4-30 3:20:0,21.9,47
246,2021-4-30 3:25:0,21.9,47
247,2021-4-30 3:30:0,21.9,47
248,2021-4-30 3:35:0,21.9,47
249,2021-4-30 3:40:0,21.9,47
250,2021-4-30 3:45:0,21.9,47
251,2021-4-30 3:50:0,21.9,47
252,2021-4-30 3:55:0,21.8,47.1
253,2021-4-30 4:0:0,21.8,47.1
254,2021-4-30 4:5:0,21.8,47.1
255,2021-4-30 4:10:0,21.8,47.2
256,2021-4-30 4:15:0,21.8,47.2
257,2021-4-30 4:20:0,21.8,47.2
258,2021-4-30 4:25:0,21.8,47.2
259,2021-4-30 4:30:0,21.8,47.2
260,2021-4-30 4:35:0,21.8,47.2
261,2021-4-30 4:40:0,21.8,47.3
262,2021-4-30 4:45:0,21.8,47.3
263,2021-4-30 4:50:0,21.8,47.3
264,2021-4-30 4:55:0,21.8,47.4
265,2021-4-30 5:0:0,21.8,47.4
266,2021-4-30 5:5:0,21.8,47.5
267,2021-4-30 5:10:0,21.8,47.4
268,2021-4-30 5:15:0,21.7,47.5
269,2021-4-30 5:20:0,21.7,47.5
270,2021-4-30 5:25:0,21.7,47.5
271,2021-4-30 5:30:0,21.7,47.5
272,2021-4-30 5:35:0,21.7,47.5
273,2021-4-30 5:40:0,21.7,47.5
274,2021-4-30 5:45:0,21.7,47.5
275,2021-4-30 5:50:0,21.7,47.6
276,2021-4-30 5:55:0,21.7,47.6
277,2021-4-30 6:0:0,21.7,47.6
278,2021-4-30 6:5:0,21.7,47.6
279,2021-4-30 6:10:0,21.7,47.6
280,2021-4-30 6:15:0,21.7,47.6
281,2021-4-30 6:20:0,21.7,47.6
282,2021-4-30 6:25:0,21.7,47.6
283,2021-4-30 6:30:0,21.7,47.4
284,2021-4-30 6:35:0,21.7,47.1
285,2021-4-30 6:40:0,21.7,46.6
286,2021-4-30 6:45:0,21.6,46.9
287,2021-4-30 6:50:0,21.6,46.8
288,2021-4-30 6:55:0,21.6,46.9
289,2021-4-30 7:0:0,21.6,47
290,2021-4-30 7:5:0,21.6,47.1
291,2021-4-30 7:10:0,21.6,47.1
292,2021-4-30 7:15:0,21.6,47.3
293,2021-4-30 7:20:0,21.6,47.3
294,2021-4-30 7:25:0,21.6,47.4
295,2021-4-30 7:30:0,21.6,47.6
296,2021-4-30 7:35:0,21.6,47.8
297,2021-4-30 7:40:0,21.6,47.8
298,2021-4-30 7:45:0,21.6,47.9
299,2021-4-30 7:50:0,21.6,48
300,2021-4-30 7:55:0,21.6,48.1
301,2021-4-30 8:0:0,21.6,48
302,2021-4-30 8:5:0,21.6,48.1
303,2021-4-30 8:10:0,21.5,48.3
304,2021-4-30 8:15:0,21.5,48.3
305,2021-4-30 8:20:0,21.5,48.5
306,2021-4-30 8:25:0,21.5,48.4
307,2021-4-30 8:30:0,21.5,48.5
308,2021-4-30 8:35:0,21.5,48.5
309,2021-4-30 8:40:0,21.5,48.5
310,2021-4-30 8:45:0,21.5,48.6
311,2021-4-30 8:50:0,21.5,48.3
312,2021-4-30 8:55:0,21.7,47
313,2021-4-30 9:0:0,22.2,45.1
314,2021-4-30 9:5:0,22.8,58.9
315,2021-4-30 9:10:0,23.3,51.7
316,2021-4-30 9:15:0,23.7,48.4
317,2021-4-30 9:20:0,23.8,46.5
318,2021-4-30 9:25:0,23.8,45.5
319,2021-4-30 9:30:0,24,44.7
320,2021-4-30 9:35:0,24.1,49.8
321,2021-4-30 9:40:0,24.2,48.1
322,2021-4-30 9:45:0,24.3,47.2
323,2021-4-30 9:50:0,24.4,46.6
324,2021-4-30 9:55:0,24.4,46.4
325,2021-4-30 10:0:0,24.5,46.1
326,2021-4-30 10:5:0,24.5,45.4
327,2021-4-30 10:10:0,24.5,45.3
328,2021-4-30 10:15:0,24.6,45.3
329,2021-4-30 10:20:0,24.6,45.5
330,2021-4-30 10:25:0,24.7,45.9
331,2021-4-30 10:30:0,24.7,46
332,2021-4-30 10:35:0,24.7,46.1
333,2021-4-30 10:40:0,24.8,46.5
334,2021-4-30 10:45:0,24.7,46.5
335,2021-4-30 10:50:0,24.7,46.1
336,2021-4-30 10:55:0,24.7,45.9
337,2021-4-30 11:0:0,24.7,45.6
338,2021-4-30 11:5:0,24.8,45.6
339,2021-4-30 11:10:0,24.8,45.8
340,2021-4-30 11:15:0,24.8,46.1
341,2021-4-30 11:20:0,24.8,46.1
342,2021-4-30 11:25:0,24.8,46
343,2021-4-30 11:30:0,24.9,45.7
344,2021-4-30 11:30:53,24.5,39.2
