"  DateTime","Temp.[C]"
"2021/4/30 10:09:21","+23.8316"
"2021/4/30 10:09:41","+23.8941"
"2021/4/30 10:10:01","+25.5195"
"2021/4/30 10:10:21","+27.3943"
"2021/4/30 10:10:41","+28.0191"
"2021/4/30 10:11:01","+28.3939"
"2021/4/30 10:11:21","+28.7062"
"2021/4/30 10:11:41","+28.8936"
"2021/4/30 10:12:01","+29.1434"
"2021/4/30 10:12:21","+29.3308"
"2021/4/30 10:12:41","+29.5181"
"2021/4/30 10:13:01","+29.7055"
"2021/4/30 10:13:21","+29.8304"
"2021/4/30 10:13:41","+29.9553"
"2021/4/30 10:14:01","+30.0802"
"2021/4/30 10:14:21","+30.1426"
"2021/4/30 10:14:41","+30.2675"
"2021/4/30 10:15:01","+30.3924"
"2021/4/30 10:15:21","+30.5173"
"2021/4/30 10:15:41","+30.5797"
"2021/4/30 10:16:01","+30.6421"
"2021/4/30 10:16:21","+30.7046"
"2021/4/30 10:16:41","+30.7670"
"2021/4/30 10:17:01","+30.8294"
"2021/4/30 10:17:21","+30.9543"
"2021/4/30 10:17:41","+31.0167"
"2021/4/30 10:18:01","+31.0792"
"2021/4/30 10:18:21","+31.1416"
"2021/4/30 10:18:41","+31.1416"
"2021/4/30 10:19:01","+31.2040"
"2021/4/30 10:19:21","+31.2664"
"2021/4/30 10:19:41","+31.3289"
"2021/4/30 10:20:01","+31.3913"
"2021/4/30 10:20:21","+31.3913"
"2021/4/30 10:20:41","+31.4537"
"2021/4/30 10:21:01","+31.5161"
"2021/4/30 10:21:21","+31.5161"
"2021/4/30 10:21:41","+31.5786"
"2021/4/30 10:22:01","+31.6410"
"2021/4/30 10:22:21","+31.6410"
"2021/4/30 10:22:41","+31.7034"
"2021/4/30 10:23:01","+31.7658"
"2021/4/30 10:23:21","+31.7658"
"2021/4/30 10:23:41","+31.7658"
"2021/4/30 10:24:01","+31.8283"
"2021/4/30 10:24:21","+31.8283"
"2021/4/30 10:24:41","+31.8283"
"2021/4/30 10:25:01","+31.8283"
"2021/4/30 10:25:21","+31.8907"
"2021/4/30 10:25:41","+31.8907"
"2021/4/30 10:26:01","+31.8907"
"2021/4/30 10:26:21","+31.9531"
"2021/4/30 10:26:41","+31.9531"
"2021/4/30 10:27:01","+31.9531"
"2021/4/30 10:27:21","+32.0155"
"2021/4/30 10:27:41","+32.0779"
"2021/4/30 10:28:01","+32.0779"
"2021/4/30 10:28:21","+32.0779"
"2021/4/30 10:28:41","+32.0779"
"2021/4/30 10:29:01","+32.0779"
"2021/4/30 10:29:21","+32.1403"
"2021/4/30 10:29:41","+32.1403"
"2021/4/30 10:30:01","+32.2028"
"2021/4/30 10:30:21","+32.2028"
"2021/4/30 10:30:41","+32.2028"
"2021/4/30 10:31:01","+32.2028"
"2021/4/30 10:31:21","+32.2028"
"2021/4/30 10:31:41","+32.2028"
"2021/4/30 10:32:01","+32.2028"
"2021/4/30 10:32:21","+32.2652"
"2021/4/30 10:32:41","+32.3276"
"2021/4/30 10:33:01","+32.3900"
"2021/4/30 10:33:21","+32.3900"
"2021/4/30 10:33:41","+32.4524"
"2021/4/30 10:34:01","+32.4524"
"2021/4/30 10:34:21","+32.4524"
"2021/4/30 10:34:41","+32.3900"
"2021/4/30 10:35:01","+32.3900"
"2021/4/30 10:35:21","+32.3276"
"2021/4/30 10:35:41","+32.3276"
"2021/4/30 10:36:01","+32.3276"
"2021/4/30 10:36:21","+32.2652"
"2021/4/30 10:36:41","+32.2652"
"2021/4/30 10:37:01","+32.2652"
"2021/4/30 10:37:21","+32.3276"
"2021/4/30 10:37:41","+32.3276"
"2021/4/30 10:38:01","+32.3276"
"2021/4/30 10:38:21","+32.3276"
"2021/4/30 10:38:41","+32.2652"
"2021/4/30 10:39:01","+32.2652"
"2021/4/30 10:39:21","+32.3276"
"2021/4/30 10:39:41","+32.3276"
"2021/4/30 10:40:01","+32.3276"
"2021/4/30 10:40:21","+32.3276"
"2021/4/30 10:40:41","+32.3276"
"2021/4/30 10:41:01","+32.3276"
"2021/4/30 10:41:21","+32.3276"
"2021/4/30 10:41:41","+32.2652"
"2021/4/30 10:42:01","+32.2652"
"2021/4/30 10:42:21","+32.3276"
"2021/4/30 10:42:41","+32.3900"
"2021/4/30 10:43:01","+32.3900"
"2021/4/30 10:43:21","+32.3900"
"2021/4/30 10:43:41","+32.3900"
"2021/4/30 10:44:01","+32.3900"
"2021/4/30 10:44:21","+32.3900"
"2021/4/30 10:44:41","+32.3900"
"2021/4/30 10:45:01","+32.3900"
"2021/4/30 10:45:21","+32.4524"
"2021/4/30 10:45:41","+32.4524"
"2021/4/30 10:46:01","+32.4524"
"2021/4/30 10:46:21","+32.4524"
"2021/4/30 10:46:41","+32.4524"
"2021/4/30 10:47:01","+32.4524"
"2021/4/30 10:47:21","+32.4524"
"2021/4/30 10:47:41","+32.4524"
"2021/4/30 10:48:01","+32.5148"
"2021/4/30 10:48:21","+32.5148"
"2021/4/30 10:48:41","+32.4524"
"2021/4/30 10:49:01","+32.3900"
"2021/4/30 10:49:21","+32.3276"
"2021/4/30 10:49:41","+32.2652"
"2021/4/30 10:50:01","+32.2652"
"2021/4/30 10:50:21","+32.2028"
"2021/4/30 10:50:41","+32.1403"
"2021/4/30 10:51:01","+32.1403"
"2021/4/30 10:51:21","+32.1403"
"2021/4/30 10:51:41","+32.0779"
"2021/4/30 10:52:01","+32.0779"
"2021/4/30 10:52:21","+32.0779"
"2021/4/30 10:52:41","+32.0155"
"2021/4/30 10:53:01","+32.0155"
"2021/4/30 10:53:21","+32.0155"
"2021/4/30 10:53:41","+32.0155"
"2021/4/30 10:54:01","+31.9531"
"2021/4/30 10:54:21","+31.9531"
"2021/4/30 10:54:41","+31.9531"
"2021/4/30 10:55:01","+31.9531"
"2021/4/30 10:55:21","+31.9531"
"2021/4/30 10:55:41","+31.9531"
"2021/4/30 10:56:01","+31.9531"
"2021/4/30 10:56:21","+31.9531"
"2021/4/30 10:56:41","+31.9531"
"2021/4/30 10:57:01","+31.8907"
"2021/4/30 10:57:21","+31.8907"
"2021/4/30 10:57:41","+31.8907"
"2021/4/30 10:58:01","+31.8907"
"2021/4/30 10:58:21","+31.8907"
"2021/4/30 10:58:41","+31.8907"
"2021/4/30 10:59:01","+31.8907"
"2021/4/30 10:59:21","+31.8907"
"2021/4/30 10:59:41","+31.8283"
"2021/4/30 11:00:01","+31.8907"
"2021/4/30 11:00:21","+31.8907"
"2021/4/30 11:00:41","+31.8283"
"2021/4/30 11:01:01","+31.8283"
"2021/4/30 11:01:21","+31.8283"
"2021/4/30 11:01:41","+31.8283"
"2021/4/30 11:02:01","+31.8907"
"2021/4/30 11:02:21","+31.8907"
"2021/4/30 11:02:41","+31.8907"
"2021/4/30 11:03:01","+31.8907"
"2021/4/30 11:03:21","+31.8907"
"2021/4/30 11:03:41","+31.8907"
"2021/4/30 11:04:01","+31.8907"
"2021/4/30 11:04:21","+31.8907"
"2021/4/30 11:04:41","+31.8907"
"2021/4/30 11:05:01","+31.8907"
"2021/4/30 11:05:21","+31.8907"
"2021/4/30 11:05:41","+31.8907"
"2021/4/30 11:06:01","+31.8907"
"2021/4/30 11:06:21","+31.8907"
"2021/4/30 11:06:41","+32.0155"
"2021/4/30 11:07:01","+32.0155"
"2021/4/30 11:07:21","+31.9531"
"2021/4/30 11:07:41","+31.9531"
